question,answer
What should I do if I receive a suspicious phishing email?,"Do not click any links or open attachments. Forward the email as an attachment to phishing@company.com, then delete it from your inbox. If you have clicked a link, disconnect your laptop from the network immediately by disabling Wi-Fi and Ethernet, then call the Security Operations Centre on ext. 8888. Report all phishing attempts — do not ignore them."
How do I request access to Confluence?,Confluence access is provisioned through your Jira account. Raise a ServiceNow request under 'Access Management > Application Access > Confluence'. Specify the spaces you need access to and the role required (viewer or editor). Your manager's approval is required for edit access to regulated project spaces. Access is provisioned within 1 business day.
How do I enable screen recording for a training session?,"Screen recording is available via Microsoft Stream (cloud) or Camtasia (installed on request). To record a Teams meeting, click the three dots menu and select 'Start Recording' — all participants are notified. Recordings are automatically saved to Microsoft Stream and shared with meeting participants. For compliance reasons, recordings on trading floors must be disclosed to participants in advance."
My access to the Repo trading platform was revoked after leave. How do I get it restored?,"Access to regulated trading systems is automatically suspended after 30 days of inactivity as per the Joiner Mover Leaver (JML) policy. Submit a ServiceNow request under 'Access Management > Reinstate Access', include your returning-from-leave date, your manager's approval, and confirmation that your annual trading system recertification is up to date. Restoration SLA is 1 business day."
How do I request a data extract from the trading database?,"Data extracts from production trading databases require a formal Data Access Request submitted via ServiceNow under 'Data Management > Data Extract Request'. You must specify the data fields, date range, business purpose, and confirm compliance with GDPR and regulatory data handling policies. All extracts are logged for audit. Approved requests are fulfilled by the DBA team within 2 business days."
What is the process for reporting a system outage affecting trading?,"Immediately call the Major Incident hotline on ext. 9999. State the affected system, the business impact (number of traders affected, products impacted), and your contact details. The on-call Major Incident Manager will convene a bridge call within 15 minutes. Simultaneously raise a P1 ServiceNow incident and add the relevant application support group. Do not send group emails — use the incident bridge."
How do I get a new employee set up with IT access on their first day?,"Submit a New Joiner request in ServiceNow under 'Joiner Mover Leaver > New Joiner' at least 5 business days before the start date. Include: full name, employee ID, job title, start date, office location, line manager, systems required, and AD group memberships. Laptop provisioning, email setup, and standard access will be ready for day one. Role-specific system access requires separate requests."
How do I transfer files securely to an external party?,"Use the approved Secure File Transfer service accessible at https://filetransfer.company.com. Log in with your company credentials, upload the file, and enter the recipient's email. Files are encrypted in transit and at rest, and links expire after 7 days. Do not use personal file sharing services (Dropbox, WeTransfer, personal Google Drive) for company data — this is a policy violation."
My Splunk access for production logs has expired. How do I renew it?,"Privileged access to production Splunk is subject to quarterly recertification. Submit a ServiceNow request under 'Access Management > Privileged Access Renewal'. Your line manager and the Splunk environment owner must re-approve your access. Access is provisioned for 90 days and requires re-approval each cycle. Ad-hoc access for incident investigation can be granted within 2 hours via the Major Incident process."
How do I set up an out-of-office reply in Outlook?,"Go to File > Automatic Replies > Send Automatic Replies. Set your start and end dates, write your internal and external messages separately. For extended leave (over 2 weeks), also set a delegate in your calendar settings and notify your manager to arrange email coverage. Ensure your out-of-office message does not include sensitive project or system names visible to external recipients."
What should I do if my laptop is lost or stolen?,"Report the loss immediately to the Security Operations Centre on ext. 8888 — available 24/7. The device will be remotely wiped within 1 hour of the report. Then file a formal report with your manager and raise a ServiceNow incident under 'Security > Lost or Stolen Device'. A replacement device can be requested under 'Hardware & Software > Hardware Request — Urgent'. Do not delay reporting — regulatory reporting obligations may apply."
How do I request a change to a production system?,All production changes must follow the Change Management process. Raise a Change Request in ServiceNow under 'Change Management > Standard or Normal Change'. Normal changes require CAB (Change Advisory Board) approval and must be submitted by Wednesday midday for the Friday CAB meeting. Emergency changes can be approved out-of-band but require post-implementation review. No production changes outside approved windows without emergency approval.
How do I access the company intranet from home?,The company intranet is accessible via VPN. Connect to Cisco AnyConnect using your AD credentials and MFA token, then navigate to https://intranet.company.com in your browser. Some intranet resources (HR portal, expense system) are also accessible without VPN via the company's external SSO portal at https://myapps.company.com.
My ServiceNow portal is not loading. What should I do?,"Clear your browser cache and cookies, then try an incognito window. ServiceNow is tested on Chrome and Edge — switch browsers if the issue persists. If ServiceNow itself is down, call the helpdesk on ext. 1234 to raise incidents by phone. Check the IT Status page at https://itstatus.company.com for known outages."
How do I request access to Bloomberg Data License (BDL)?,"Bloomberg Data License access requires approval from the Head of Market Data. Submit a request via ServiceNow under 'Market Data > Bloomberg Data License Request'. Include the specific data sets required, the intended use case, and your cost centre code — BDL access is chargeable and allocated to your business unit's budget. Approval and provisioning typically takes 5-7 business days."
What is the process for decommissioning an old server or system?,"Submit a decommission request via ServiceNow under 'Infrastructure > Decommission Request'. Include the server name, IP address, application owner sign-off, confirmation that all data has been migrated or archived, and sign-off from the Information Security team. Decommission must be completed within the approved maintenance window. DNS and firewall rules will be cleaned up automatically post-decommission."
How do I escalate an incident that is not being resolved within SLA?,"If an incident is breaching SLA, click 'Escalate' within the ServiceNow ticket and select your manager as the escalation approver. This automatically notifies the resolver group's team lead. For critical business impact, call the helpdesk manager directly on ext. 1235. Document all escalation actions in the ticket comments for audit trail."
How do I share a large file with a colleague internally?,"For files under 25MB, use email or Teams. For files between 25MB and 5GB, upload to your SharePoint team site or OneDrive and share via link — set the link to expire after 30 days. For files over 5GB, raise a ServiceNow request under 'Data Management > Large File Transfer' and the infrastructure team will provision a temporary SFTP location."
My Python environment on the analytics server is broken after an update. How do I get help?,"Raise a ServiceNow request under 'Infrastructure > Analytics Platform Issue'. Include the server name, your Python version, the error message, and the conda/venv environment name. The data engineering team manages analytics environments and will respond within 4 business hours. Do not attempt to upgrade system-level Python — use virtual environments for project-specific dependencies."
How do I request a firewall rule change to allow a new application connection?,"Submit a Firewall Change Request via ServiceNow under 'Network > Firewall Rule Change'. Provide the source IP/range, destination IP/range, port and protocol, business justification, and application owner approval. Firewall changes require IT Security review and are implemented in the next available maintenance window (Tuesday and Thursday nights). Emergency firewall changes for P1 incidents can be implemented within 2 hours."
What do I do if I am unable to join a Microsoft Teams meeting?,"Check your Teams application is up to date. Sign out and back in if your status shows as 'Unknown'. For external meetings, ensure you are not blocked by the organiser's tenant firewall — join via the web browser as a fallback at https://teams.microsoft.com. If Teams is down entirely, check the IT Status page and use the dial-in number provided in the meeting invite as a backup."
How do I get my new joiner set up with access to Jira and Confluence for an Agile project?,"Raise a New Joiner System Access request via ServiceNow under 'Access Management > System Access Request'. For Agile tools, specify: Jira project keys, Confluence spaces, and the role required (Developer, Reporter, Viewer). The project admin will be notified to confirm access scope. Standard provisioning is 1 business day after manager approval is received."
How do I back up my local work before sending my laptop for repair?,"Before sending your laptop for repair, back up to OneDrive (automatically synced if configured) and copy critical local files to your SharePoint team site. Check Settings > OneDrive > View Sync Status to confirm sync is complete. Raise the repair request via ServiceNow under 'Hardware & Software > Hardware Repair' and IT will confirm a data backup checklist before collection."
What is the approved process for working with production data in a development environment?,"Production data must never be copied to non-production environments without explicit Data Governance approval. Submit a request under 'Data Management > Production Data Access for Testing'. You must confirm data masking/anonymisation requirements with the Information Security team. Synthetic data generation tools are available — raise a request for access under 'Tools > Synthetic Data'."
How do I reset the password for a service account?,"Service account password resets require a change request, not a standard incident. Raise a ServiceNow change under 'Change Management > Service Account Password Reset'. You must have sign-off from the application owner and provide a list of all systems and jobs consuming the service account. Schedule the change during a low-impact window and test all dependent jobs post-reset."
My Geneos alert is not triggering for a critical process. Who do I contact?,"Raise a P2 ServiceNow incident under 'Monitoring & Alerting > Geneos Alert Configuration'. Include the alert name, the process it monitors, the expected trigger condition, and evidence it is not firing. The production support team will investigate. For trading-critical monitoring gaps, escalate immediately to P1 — an unmonitored trading process is a significant operational risk."
How do I request access to the CI/CD pipeline for a new project?,"Submit a ServiceNow request under 'DevOps > CI/CD Access Request'. Provide the repository name, pipeline name, and the access level required (developer, deployer, admin). For production deployment pipelines, additional approval from the Release Manager is required. Access is provisioned within 2 business days and tied to your AD account."
What should I do if I notice unusual activity on my account?,"Contact the Security Operations Centre immediately on ext. 8888 — do not wait to raise a ServiceNow ticket. Change your password immediately via the self-service portal if you still have access. The SOC will investigate and isolate the account if compromise is confirmed. Preserve any evidence (unusual login times, emails sent from your account) and do not delete anything until the SOC advises."
How do I set up email delegation for my manager?,Go to Outlook > File > Account Settings > Delegate Access > Add. Select your manager's name from the Global Address List and set the permissions required (Editor for full access, Reviewer for read-only). Your manager will receive a notification email to confirm. Delegation changes take effect within 15 minutes. Remove delegation when it is no longer needed via the same menu.
How do I request an increase to my OneDrive storage quota?,"Standard OneDrive quota is 1TB. If you require additional storage, raise a ServiceNow request under 'Storage > OneDrive Quota Increase' with your business justification and the amount required. Requests over 5TB require IT Architecture review. Consider archiving old files to SharePoint team sites as an alternative before requesting a quota increase."
My AutoSys job failed overnight. How do I investigate and rerun?,"Check the AutoSys job logs in the Job Activity Console using the job name. Review the exit code — common codes are in the AutoSys runbook on the intranet. If the failure is due to a known transient issue (network timeout, upstream data delay), rerun the job using 'sendevent -e STARTJOB'. If the failure is application-related, raise a P2 ServiceNow incident with the job name, exit code, and log extract."
